poiType,name,occurrence
poi,aeroway.helipad,1
poi,amenity.art space,1
poi,amenity.arts_centre,5
poi,amenity.atm,20
poi,amenity.baby_hatch,1
poi,amenity.bank,44
poi,amenity.bar,60
poi,amenity.bbq,1
poi,amenity.bedding,2
poi,amenity.bench,408
poi,amenity.bicycle_parking,60
poi,amenity.bicycle_rental,34
poi,amenity.bicycle_repair_station,1
poi,amenity.biergarten,3
poi,amenity.bus_station,1
poi,amenity.cafe,118
poi,amenity.car_rental,4
poi,amenity.car_sharing,34
poi,amenity.car_wash,3
poi,amenity.casino,2
poi,amenity.charging_station,9
poi,amenity.childcare,1
poi,amenity.cinema,6
poi,amenity.clinic,8
poi,amenity.clock,29
poi,amenity.college,2
poi,amenity.community_centre,4
poi,amenity.concert_hall,1
poi,amenity.courthouse,2
poi,amenity.dentist,70
poi,amenity.departures_board,3
poi,amenity.doctors,244
poi,amenity.dojo,1
poi,amenity.drinking_water,5
poi,amenity.driving_school,21
poi,amenity.fast_food,117
poi,amenity.ferry_terminal,2
poi,amenity.food_court,1
poi,amenity.fountain,20
poi,amenity.fuel,2
poi,amenity.gambling,15
poi,amenity.grit_bin,7
poi,amenity.hookah_lounge,14
poi,amenity.ice_cream,6
poi,amenity.kindergarten,15
poi,amenity.library,12
poi,amenity.lockers,2
poi,amenity.lost_property_office,1
poi,amenity.luggage_locker,1
poi,amenity.marketplace,1
poi,amenity.masonic_lodge,1
poi,amenity.motorcycle_parking,2
poi,amenity.music_school,1
poi,amenity.nightclub,19
poi,amenity.parking,39
poi,amenity.parking_entrance,36
poi,amenity.parking_space,3
poi,amenity.pharmacy,33
poi,amenity.photo_booth,3
poi,amenity.place_of_worship,13
poi,amenity.police,2
poi,amenity.post_box,51
poi,amenity.post_office,12
poi,amenity.pub,82
poi,amenity.public_bookcase,3
poi,amenity.public_building,9
poi,amenity.recycling,60
poi,amenity.restaurant,231
poi,amenity.school,29
poi,amenity.social_facility,51
poi,amenity.studio,5
poi,amenity.taxi,10
poi,amenity.telephone,58
poi,amenity.theatre,12
poi,amenity.ticket_validator,2
poi,amenity.toilets,29
poi,amenity.townhall,1
poi,amenity.university,23
poi,amenity.vending_machine,167
poi,amenity.veterinary,4
poi,amenity.waste_basket,202
poi,building.public,2
poi,building.school,1
poi,building.yes,3
poi,historic.boundary_stone,1
poi,historic.memorial,147
poi,historic.monument,1
poi,historic.wayside_cross,1
poi,leisure.adult_gaming_centre,4
poi,leisure.dance,2
poi,leisure.fitness_centre,6
poi,leisure.fitness_station,1
poi,leisure.hackerspace,1
poi,leisure.park,1
poi,leisure.pitch,4
poi,leisure.playground,22
poi,leisure.sauna,1
poi,leisure.slipway,1
poi,leisure.sports_centre,27
poi,leisure.tanning_salon,2
poi,man_made.advertising,4
poi,man_made.chimney,1
poi,man_made.crane,2
poi,man_made.manhole,1
poi,man_made.mast,7
poi,man_made.monitoring_station,1
poi,man_made.pumping_station,1
poi,man_made.street_cabinet,5
poi,man_made.surveillance,150
poi,man_made.survey_point,1
poi,military.bunker,1
poi,natural.tree,1853
poi,population.307640,1
poi,shop.Fachgeschäft_für_ökologisches_Bauen_und_Wohnen,1
poi,"shop.Produkte_aus_Fairem_Handel_(Lebensmittel,_Non-Food)",1
poi,shop.alcohol,2
poi,shop.antiques,7
poi,shop.art,30
poi,shop.auction,3
poi,shop.baby_goods,2
poi,shop.bag,1
poi,shop.bakery,76
poi,shop.bathroom_furnishing,1
poi,shop.beauty,90
poi,shop.bed,6
poi,shop.beverages,3
poi,shop.bicycle,15
poi,shop.bookmaker,12
poi,shop.books,17
poi,shop.boutique,14
poi,shop.butcher,8
poi,shop.car,3
poi,shop.car_parts,2
poi,shop.car_repair,8
poi,shop.carpet,4
poi,shop.cartography,1
poi,shop.catering,1
poi,shop.charity,3
poi,shop.chemist,14
poi,shop.clothes,176
poi,shop.coffee,4
poi,shop.collector,2
poi,shop.communication,3
poi,shop.computer,23
poi,shop.confectionery,11
poi,shop.convenience,26
poi,shop.copyshop,13
poi,shop.cosmetics,5
poi,shop.curtain,2
poi,shop.decoration,1
poi,shop.deli,26
poi,shop.department_store,5
poi,shop.doityourself,2
poi,shop.dry_cleaning,14
poi,shop.e-cigarette,4
poi,shop.electronics,15
poi,shop.erotic,5
poi,shop.fabric,13
poi,shop.fan_shop,1
poi,shop.fashion_accessories,1
poi,shop.florist,16
poi,shop.frame,1
poi,shop.funeral_directors,2
poi,shop.furniture,26
poi,shop.garden_centre,1
poi,shop.general,2
poi,shop.gift,20
poi,shop.greengrocer,4
poi,shop.hairdresser,158
poi,shop.hairdresser_supply,1
poi,shop.hardware,1
poi,shop.hat,1
poi,shop.headshop,1
poi,shop.hearing_aids,11
poi,shop.hifi,7
poi,shop.houseware,4
poi,shop.hunting,2
poi,shop.ice_cream,1
poi,shop.interior_decoration,15
poi,shop.jewelry,54
poi,shop.kiosk,42
poi,shop.kitchen,6
poi,shop.laundry,9
poi,shop.lottery,1
poi,shop.massage,26
poi,shop.medical_supply,10
poi,shop.mobile_phone,32
poi,shop.motorcycle,1
poi,shop.music,3
poi,shop.musical_instrument,8
poi,shop.newsagent,2
poi,shop.newspaper,1
poi,shop.optician,23
poi,shop.outdoor,1
poi,shop.paint,1
poi,shop.pawnbroker,6
poi,shop.perfumery,2
poi,shop.pet,7
poi,shop.phone,1
poi,shop.photo,4
poi,shop.podiatrist,1
poi,shop.printshop,2
poi,shop.seafood,2
poi,shop.sewing,1
poi,shop.shoes,36
poi,shop.solarium,5
poi,shop.sports,7
poi,shop.stationery,8
poi,shop.supermarket,35
poi,shop.tailor,29
poi,shop.tattoo,13
poi,shop.tea,4
poi,shop.ticket,3
poi,shop.tobacco,7
poi,shop.tobacco;newspaper,1
poi,shop.toys,5
poi,shop.travel_agency,44
poi,shop.tyres,1
poi,shop.vacant,60
poi,shop.variety_store,7
poi,shop.video_games,1
poi,shop.watches,1
