108782188: parking: 221161881#2 : [255, 0, 0], 0
111556866: parking: -21912998#0 : [255, 0, 0], 0
114976952: parking: 749296219#0 : [255, 0, 0], 0
121805109: parking: 46963653#1 : [255, 0, 0], 0
122699043: parking: 114198527 : [255, 0, 0], 0
126621220: parking: -126621216 : [255, 0, 0], 0
127319590: parking: 28143928#3 : [255, 0, 0], 0
131229978: parking: 360248211#2 : [255, 0, 0], 0
142174443: parking: 472148300 : [255, 0, 0], 0
150570217: parking: 231285503#2 : [255, 0, 0], 0
154924790: parking: 7980446#2 : [255, 0, 0], 0
158828718: parking: -35834153#0 : [255, 0, 0], 0
162053868: parking: 21912998#2 : [255, 0, 0], 0
177965165: parking: 360248182#2 : [255, 0, 0], 0
180750793: parking: 107085648#0 : [255, 0, 0], 0
185324137: parking: 108404032#1 : [255, 0, 0], 0
185324452: parking: 24470195#0 : [255, 0, 0], 0
191605846: parking: 269017594 : [255, 0, 0], 0
195776708: parking: 150661833#1 : [255, 0, 0], 0
209306841: parking: 108404033#1 : [255, 0, 0], 0
217928202: parking: -28493079#0 : [255, 0, 0], 0
220219366: parking: 174352079#6 : [255, 0, 0], 0
220219368: parking: 174352079#7 : [255, 0, 0], 0
222850506: parking: -24599111#2 : [255, 0, 0], 0
269483112: parking: -150697173#1 : [255, 0, 0], 0
269483115: parking: 5073616#3 : [255, 0, 0], 0
269783945: parking: 208424708 : [255, 0, 0], 0
300036490: parking: 57846800#1 : [255, 0, 0], 0
300083199: parking: 79683431#1 : [255, 0, 0], 0
300083200: parking: 79683431#1 : [255, 0, 0], 0
308366883: parking: 692648168#4 : [255, 0, 0], 0
319577357: parking: 4432605 : [255, 0, 0], 0
33687201: parking: -22331296#1 : [255, 0, 0], 0
345546094: parking: 268931670 : [255, 0, 0], 0
345546542: parking: 268931669 : [255, 0, 0], 0
350840715: parking: 108404031#1 : [255, 0, 0], 0
350840717: parking: 364080662#1 : [255, 0, 0], 0
35773592: parking: 359947001 : [255, 0, 0], 0
35953807: parking: 24608191#0 : [255, 0, 0], 0
364956790: parking: 42761340#7 : [255, 0, 0], 0
379470072: parking: 150393267#8 : [255, 0, 0], 0
383625800: parking: 436584061#1 : [255, 0, 0], 0
383625803: parking: 18314022#2 : [255, 0, 0], 0
383739217: parking: -125927750#0 : [255, 0, 0], 0
387015257: parking: 387015289#1 : [255, 0, 0], 0
408226427: parking: 779043553#1 : [255, 0, 0], 0
437767908: parking: -84176718#0 : [255, 0, 0], 0
437767911: parking: 84176718#0 : [255, 0, 0], 0
443046532: parking: 7980450#1 : [255, 0, 0], 0
443046534: parking: 4432606#6 : [255, 0, 0], 0
452677421: parking: -32673386#3 : [255, 0, 0], 0
454290003: parking: 385966809#1 : [255, 0, 0], 0
454290004: parking: 385966809#0 : [255, 0, 0], 0
475687978: parking: 85287424 : [255, 0, 0], 0
486596744: parking: 269040907#1 : [255, 0, 0], 0
486596750: parking: 269040907#0 : [255, 0, 0], 0
523413306: parking: 26393800 : [255, 0, 0], 0
584186443: parking: 174352079#6 : [255, 0, 0], 0
584186444: parking: 174352079#7 : [255, 0, 0], 0
612275548: parking: 231285502 : [255, 0, 0], 0
612278376: parking: 231285502 : [255, 0, 0], 0
626024475: parking: 404190176 : [255, 0, 0], 0
627954862: parking: 26602743#0 : [255, 0, 0], 0
657375078: parking: -25878783#1 : [255, 0, 0], 0
69730788: parking: 56186952#0 : [255, 0, 0], 0
747941476: parking: 84176718#2 : [255, 0, 0], 0
843954683: parking: 183654500#0 : [255, 0, 0], 0
94586309: parking: 8067185#1 : [255, 0, 0], 0
94586332: parking: 245941530#3 : [255, 0, 0], 0
97301280: parking: 97301286 : [255, 0, 0], 0
97301281: parking: 97301283#1 : [255, 0, 0], 0
1435486569: parking: 23137793#3 : [255, 0, 0], 0
2335123776: parking: 4432606#4 : [255, 0, 0], 0
2335207635: parking: 305325051#0 : [255, 0, 0], 0
2335209493: parking: 24600598#0 : [255, 0, 0], 0
2335209634: parking: -189575384#3 : [255, 0, 0], 0
2335222787: parking: -150694624#0 : [255, 0, 0], 0
2335223633: parking: 108404032#1 : [255, 0, 0], 0
2335223863: parking: 24534083#2 : [255, 0, 0], 0
2335229003: parking: 238870175#1 : [255, 0, 0], 0
534770397: parking: 24916962#1 : [255, 0, 0], 0
648771358: parking: -25878783#1 : [255, 0, 0], 0
103270398: building.apartments: 265910769 : ['0', '100', '100'], 39.91
103270400: building.apartments: 265910769 : ['0', '100', '100'], 46.42
103959463: building.apartments: 150663778 : ['0', '100', '100'], 45.05
104382587: building.apartments: 53040718#8 : ['0', '100', '100'], 52.89
104382588: building.apartments: 53040718#8 : ['0', '100', '100'], 37.81
104382590: building.apartments: 164092564 : ['0', '100', '100'], 81.74
104382592: building.apartments: 53040718#8 : ['0', '100', '100'], 21.97
104382600: building.apartments: 164092564 : ['0', '100', '100'], 59.9
104524322: building.apartments: 251987384#3 : ['0', '100', '100'], 35.47
104524330: building.apartments: 251987384#3 : ['0', '100', '100'], 102.61
104524342: building.apartments: -171453050 : ['0', '100', '100'], 97.9
104524343: building.apartments: -171453050 : ['0', '100', '100'], 110.98
104524350: building.apartments: 251987384#3 : ['0', '100', '100'], 50.89
104524358: building.apartments: -171453050 : ['0', '100', '100'], 85.9
104524360: building.office: -171453050 : ['255', '0', '255'], 126.59
104524364: building.apartments: -171453050 : ['0', '100', '100'], 46.36
104524365: building.apartments: 251987384#3 : ['0', '100', '100'], 62.9
104524367: building.apartments: 28297618#1 : ['0', '100', '100'], 29.43
104524368: building.apartments: 235391298 : ['0', '100', '100'], 5.67
104524369: building.apartments: 251987384#3 : ['0', '100', '100'], 81.64
104524371: building.apartments: 251987384#3 : ['0', '100', '100'], 72.52
104524373: building.apartments: -171453050 : ['0', '100', '100'], 73.49
104524379: building.apartments: -171453050 : ['0', '100', '100'], 59.83
104524383: building.apartments: 251987384#3 : ['0', '100', '100'], 112.28
104524389: building.apartments: 235391298 : ['0', '100', '100'], 6.17
104524390: building.apartments: 251987384#3 : ['0', '100', '100'], 90.53
104687261: building.apartments: 171453050 : ['0', '100', '100'], 103.54
104687269: building.apartments: 164092564 : ['0', '100', '100'], 41.39
104697754: building.apartments: -24598648#0 : ['0', '100', '100'], 30.14
104697769: building.apartments: 181336164#3 : ['0', '100', '100'], 11.66
104697795: building.apartments: 181336164#4 : ['0', '100', '100'], 27.23
104697798: building.apartments: 181336164#3 : ['0', '100', '100'], 8.48
104832616: building.apartments: -27283179#1 : ['0', '100', '100'], 27.2
104832622: building.apartments: 265910769 : ['0', '100', '100'], 23.69
108804274: building.residential: -334457597#2 : ['30', '60', '150'], 17.32
113048639: building.apartments: 187060049#1 : ['0', '100', '100'], 68.79
113048649: building.apartments: 187060049#1 : ['0', '100', '100'], 79.75
125927755: building.apartments: -32568035 : ['0', '100', '100'], 14.21
129946510: amenity.school: 150546877#0 : ['255', '150', '0'], 18.18
132655972: building.apartments: 258979254#1 : ['0', '100', '100'], 13.39
140950155: building.apartments: 208424706 : ['0', '100', '100'], 13.6
140951392: building.apartments: 208424706 : ['0', '100', '100'], 29.06
140953799: building.apartments: 208424706 : ['0', '100', '100'], 50.43
140953885: building.apartments: 208424706 : ['0', '100', '100'], 40.53
142038586: amenity.school: 4404113#1 : ['255', '150', '0'], 51.16
142038586#1: building.school: 4404113#1 : ['255', '100', '0'], 51.16
144430057: building.apartments: 183630189#1 : ['0', '100', '100'], 16.67
144430058: building.apartments: 183630189#1 : ['0', '100', '100'], 25.6
144430059: building.apartments: 183630189#1 : ['0', '100', '100'], 41.74
144430060: building.apartments: 183630189#1 : ['0', '100', '100'], 55.72
144430078: building.apartments: -5199695#1 : ['0', '100', '100'], 7.18
144450524: building.apartments: -163979338#1 : ['0', '100', '100'], 35.69
144450537: building.apartments: -5199695#1 : ['0', '100', '100'], 29.67
147060785: building.apartments: 335082290#2 : ['0', '100', '100'], 12.35
147060786: building.apartments: -42820205#0 : ['0', '100', '100'], 16.92
147060789: building.apartments: 335082290#2 : ['0', '100', '100'], 25.66
147060793: building.apartments: 335082290#2 : ['0', '100', '100'], 42.99
147060794: building.apartments: 335082290#2 : ['0', '100', '100'], 60.41
147060795: building.apartments: 335082290#2 : ['0', '100', '100'], 77.95
147060797: building.apartments: 335082290#2 : ['0', '100', '100'], 95.18
147060815: building.apartments: -335082291#3 : ['0', '100', '100'], 90.42
147060818: building.apartments: -335082291#3 : ['0', '100', '100'], 64.13
147060822: building.apartments: -335082291#3 : ['0', '100', '100'], 46.61
147060823: building.apartments: -335082291#3 : ['0', '100', '100'], 28.82
147060825: building.apartments: 151493314#1 : ['0', '100', '100'], 47.18
147060865: building.apartments: 42820205#2 : ['0', '100', '100'], 2.86
147127299: building.apartments: -151493314#2 : ['0', '100', '100'], 17.57
147138134: building.apartments: -383597641#4 : ['0', '100', '100'], 7.19
147138139: building.apartments: 151493314#2 : ['0', '100', '100'], 45.49
147138143: building.apartments: 151493314#2 : ['0', '100', '100'], 31.61
147138145: building.apartments: 335082291#3 : ['0', '100', '100'], 79.36
147138147: building.apartments: 151493314#2 : ['0', '100', '100'], 19.26
147172837: building.apartments: -25135024#3 : ['0', '100', '100'], 38.47
147172838: building.apartments: -25135024#3 : ['0', '100', '100'], 33.06
147172852: building.apartments: -25135024#3 : ['0', '100', '100'], 9.43
147172854: building.apartments: -4742868#6 : ['0', '100', '100'], 11.47
147232083: building.apartments: 308359120 : ['0', '100', '100'], 93.43
147239627: building.apartments: 253546370#2 : ['0', '100', '100'], 69.87
147239630: building.apartments: 253546370#2 : ['0', '100', '100'], 26.33
